mastery,code,domain,standard,weight
2,T1,Terminal,Use terminal to run Python programs,1
3,T2,Terminal,Identify and use relative and absolute paths,1
3,G1,Git,Understand and use Git to update website,1
3,M1,Markdown,Understand and write Markdown for website blog posts,1
3,P1,Python,"Understand and write basic Python including variables, conditionals, loops, functions",1
3,P2,Python,Understand and use lists to organize data,1
3,P3,Python,Understand and use dictionaries to organize data,1
3,P4,Python,Understand how to open and read files,1
3,P5,Python,Understand how to use csv module and readers to process csv data,1
2,P6,Python,Write clear and comprehensive comments,1
3,P7,Python,Use functions to avoid repeating code,1
2,P8,Python,Use and write classes to organize information,1
1,S1,Statistics,"Identify population, sample frame, sample given a question",1
2,S2,Statistics,Understand and explain reasons for replication crisis,1
1,S3,Statistics,Identify and correctly use different types of data,1
3,S4,Statistics,Analyze pro/cons of sampling methodologies,1
3,S5,Statistics,Identify and analyze sampling bias,1
3,S6,Statistics,Critically analyze scientific method and experiment design,1
3,A1,API,Understand how clients connect to servers via HTTP,1
2,A2,API,Identify base url and endpoints of an API,1
2,A3,API,Use Python requests module to send API GET requests,1
1,A4,API,Understand HTTP status codes and adapt code accordingly,1
2,D1,Descriptive Statistics,Understand what descriptive statistics can and cannot describe,1
3,D2,Descriptive Statistics,Create and intrepret histograms,1
1,D3,Descriptive Statistics,Create and intrepret categorical bar charts,1
3,D4,Descriptive Statistics,Use appropriate visualizations for different types of data,1
1,D5,Descriptive Statistics,Read and interpret shape and skew of histograms,1
2,D6,Descriptive Statistics,"Interpret measures of center: mean, median, mode",1
3,D7,Descriptive Statistics,"Intrepret measures of variability: range, deviation, standard deviation",1
3,D8,Descriptive Statistics,Read and intrepret boxplots and violinplots,1
2,D9,Descriptive Statistics,Use the 1.5IQR rule to screen for potential outliers,1
2,D10,Descriptive Statistics,Interpret an observation's z-score,1
